Entry,ID,Na,Al,Si,H2O,Si_source_Fumed silica,Si_source_Ludox-AS40,Si_source_Ludox-SM30,Si_source_Na2SiO3,Si_source_TEOS,Si precursor sizs (nm),Pre-dissolution of Si,Al_source_Al(OH)3,Al_source_NaAlO2,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),EMT
77,EP45L,36.9,2.0,8.4,450,0,0,0,1,0,2,1,0,1,1,0.2276422764227642,4.2,72.0,35,0
78,EP47L,36.9,3.0,7.5,450,0,0,0,1,0,2,1,0,1,1,0.2032520325203252,2.5,72.0,35,0
79,EP49L,36.9,1.0,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,9.0,72.0,35,0
80,EP51L,36.9,3.5,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,2.571428571428572,72.0,35,0
81,EP53L,36.9,1.5,9.5,450,0,0,0,1,0,2,1,0,1,1,0.2574525745257453,6.333333333333333,72.0,35,0
82,EP54L,36.9,2.5,10.0,450,0,0,0,1,0,2,1,0,1,1,0.2710027100271003,4.0,72.0,35,0
83,EP55L,36.9,3.5,9.5,450,0,0,0,1,0,2,1,0,1,1,0.2574525745257453,2.714285714285714,72.0,35,0
84,EP56L,36.9,2.5,8.5,450,0,0,0,1,0,2,1,0,1,1,0.2303523035230352,3.4,72.0,35,0
86,EP60L,36.9,3.5,11.5,450,0,0,0,1,0,2,1,0,1,1,0.3116531165311653,3.285714285714286,72.0,35,0
87,EP09H,36.9,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,2.575,72.0,45,1
88,EP11H,36.9,1.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,5.15,72.0,45,1
89,EP17H,36.9,0.8,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,6.4375,72.0,45,1
90,EP18H,36.9,1.5,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,3.433333333333334,72.0,45,1
91,EP23H,40.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.12875,2.575,72.0,45,1
92,EP24H,34.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,2.575,72.0,45,1
93,EP25H,32.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1609375,2.575,72.0,45,1
94,EP26H,34.0,1.6,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,3.21875,72.0,45,1
95,EP27H,34.0,1.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,5.15,72.0,45,1
96,EP30H,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,72.0,45,1
97,EP32H,36.9,1.8,6.5,450,0,0,0,1,0,2,1,0,1,1,0.1761517615176152,3.611111111111111,72.0,45,1
98,EP33H,36.9,1.0,6.5,450,0,0,0,1,0,2,1,0,1,1,0.1761517615176152,6.5,72.0,45,1
99,EP36H,36.9,1.5,7.5,450,0,0,0,1,0,2,1,0,1,1,0.2032520325203252,5.0,72.0,45,1
100,EP38H,36.9,1.0,3.5,450,0,0,0,1,0,2,1,0,1,1,0.0948509485094851,3.5,72.0,45,0
