Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
132,EP11-1,36.9,1.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.13956639566395665,5.15,72.0,40,,,,,,13.8,EMT + RHO,
133,EP61,42.44,2.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.12134778510838833,2.575,72.0,40,,,,,,,EMT + RHO,
134,EP62,47.97,2.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.10735876589535127,2.575,72.0,40,,,,,,,EMT + RHO,
135,EP63,36.9,2.0,5.15,450,Ludox-AS40,22.0,No,Al(OH)3,No,No,0.13956639566395665,2.575,48.0,30,nanocrystal,,,,,13.6,EMT,
136,FE01,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,24.0,65,,,,,,,Amorphous,
137,FE02,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,48.0,65,,,58.8,52.0,0.0,,Amorphous+FAU,
138,FE03,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,72.0,65,hiearchical,1.3,573.5,100.3,0.2,,FAU-EMT,
139,FE04,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,96.0,65,hiearchical,1.3,,,,,FAU-EMT,
140,FE05,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,120.0,65,hiearchical,1.3,,,,,FAU-EMT,
141,FE06,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,144.0,65,aggregates,,,,,,FAU-EMT + GIS,
142,FE07,11.0,2.0,5.0,190,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,168.0,65,aggregates,,,,,,FAU-EMT + GIS,
143,FE08-1,11.0,2.0,5.0,190,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,24.0,65,,,,,,,Amorphous + FAU-EMT,
144,FE08-2,11.0,2.0,5.0,190,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,48.0,65,hiearchical,1.3,840.4,92.9,0.31,,FAU-EMT,
145,FE08-3,11.0,2.0,5.0,190,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,72.0,65,hiearchical,1.3,,,,,FAU-EMT,
146,FE08-4,11.0,2.0,5.0,190,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,96.0,65,,,,,,,FAU-EMT +GIS,
147,FE09-1,11.0,2.0,5.0,190,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,24.0,65,Cubic,1.0,,,,,LTA,
148,FE09-2,11.0,2.0,5.0,190,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,48.0,65,Cubic,1.0,,,,,LTA,
149,FE09-3,11.0,2.0,5.0,190,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,72.0,65,Cubic,1.0,,,,,LTA,
150,FE09-4,11.0,2.0,5.0,190,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.45454545454545453,2.5,96.0,65,Cubic,1.0,,,,,LTA,
151,FE10-1,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,24.0,65,hiearchical,1.3,,,,,FAU-EMT,
152,FE10-2,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,65,hiearchical,1.3,,,,,FAU-EMT,
153,FE10-3,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,72.0,65,hiearchical,1.3,884.8,186.9,0.29,,FAU-EMT,
154,FE10-4,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,96.0,65,hiearchical,1.3,654.4,348.2,0.13,,FAU-EMT,
155,FE11-1,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,24.0,65,,,,,,,amorphous,
156,FE11-2,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,65,hiearchical,1.3,548.5,126.2,0.17,,FAU-EMT,
157,FE11-3,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,72.0,65,hiearchical,1.3,,,,,FAU-EMT,
158,FE11-4,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,96.0,65,hiearchical,1.3,,,,,FAU-EMT,
159,FE12-1,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,24.0,65,Cubic,1.0,,,,,LTA,
160,FE12-2,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,65,Cubic,1.0,,,,,LTA,
161,FE12-3,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,72.0,65,Cubic,1.0,,,,,LTA,
162,FE12-4,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,96.0,65,Cubic,1.0,,,,,LTA,
163,FE13,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,24.0,65,,,,,,,amorphous,
164,FE14,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,48.0,65,,,,,,,amorphous + FAU-EMT,
165,FE15,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,72.0,65,,,575.6,98.8,0.2,,Amorphous + FAU-EMT,
166,FE16,11.0,2.0,5.0,190,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,24.0,65,,,,,,,amorphous,
167,FE17,11.0,2.0,5.0,190,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,48.0,65,,1.3,591.4,92.4,0.21,,FAU-EMT,
168,FE18,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,24.0,65,hiearchical,1.3,,,,,FAU-EMT,
169,FE19,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,48.0,65,hiearchical,1.3,,,,,FAU-EMT,
170,FE20,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,72.0,65,hiearchical,1.3,597.8,138.3,0.19,,FAU-EMT,
171,FE21,10.0,0.5,2.5,173,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.25,5.0,24.0,65,,,,,,,amorphous,
172,FE22,10.0,0.5,2.5,173,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.25,5.0,48.0,65,hiearchical,1.3,,,,,FAU-EMT,
173,FE24,10.0,1.0,5.0,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.5,5.0,48.0,65,,,,,,,amorphous,
174,FE25,10.0,1.0,5.0,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.5,5.0,72.0,65,,,50.8,22.2,0.01,,amorphous,
175,FE27,10.0,1.0,5.0,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.5,5.0,48.0,65,aggregates,1.3,571.6,129.4,0.18,,FAU,
176,FE28,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,24.0,65,,,,,,,amorphous,
177,FE29,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,48.0,65,hiearchical,1.3,666.1,118.3,0.23,,FAU-EMT,
178,FE30,11.0,2.0,5.0,190,Na2SiO3,2.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,72.0,65,hiearchical,,,,,,FAU-EMT + amorphous,
179,FE31,11.0,2.0,5.0,190,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,24.0,65,aggregates,1.3,,,,,FAU,
180,FE32,11.0,2.0,5.0,190,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.45454545454545453,2.5,48.0,65,aggregates,1.3,,,,,FAU,
181,FE33,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,24.0,65,hiearchical,1.3,,,,,FAU-EMT,
182,FE34,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,48.0,65, aggregates,1.3,,,,,FAU + FAU-EMT,
183,FE35,10.0,0.5,2.5,173,Na2SiO3,2.0,No,Al(OH)3,No,No,0.25,5.0,72.0,65,aggregates,1.3,627.3,123.5,0.21,,FAU,
184,FE36,10.0,0.5,2.5,173,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.25,5.0,24.0,65,aggregates,,,,,,amorphous + FAU-EMT,
185,FE37,10.0,0.5,2.5,173,Ludox-SM30,12.0,No,Al(OH)3,No,No,0.25,5.0,48.0,65,aggregates,,,,,,amorphous + FAU-EMT,
186,FE42,10.0,0.2,1.0,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,Yes,0.1,5.0,96.0,65,,,,,,,clear solution,
187,FE43,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,96.0,65,hiearchical,1.2,654.0,348.0,0.13,,FAU-EMT,
188,FE44,10.0,1.0,5.0,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.5,5.0,96.0,65,hiearchical,1.2,677.0,197.0,0.2,,FAU-EMT,
189,FE45,10.0,2.5,5.0,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.5,2.0,96.0,65,hiearchical,1.2,555.0,198.0,0.15,,FAU-EMT,
190,FE46,10.0,1.5,7.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.75,5.0,96.0,65,aggregates,,20.0,22.0,0.0,,amorphous + FAU-EMT,
191,FE47,10.0,1.25,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,2.0,96.0,65,hiearchical,1.2,610.0,153.0,0.19,,FAU-EMT,
192,FE48,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,85,hiearchical,1.2,718.1,86.4,0.26,,FAU-EMT,
193,FE49,10.0,0.5,2.5,173,Na2SiO3,2.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,100,hiearchical,1.3,867.0,109.0,0.31,,FAU-EMT,
194,FE50,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,85,,,,,,,FAU+GIS,
195,FE51,10.0,0.5,2.5,173,Ludox-SM30,12.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,100,aggregates,,72.0,24.0,0.02,,SOD,
196,FE52,10.0,0.5,2.5,173,Ludox-AS40,22.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,85,aggregates,1.4,718.0,86.0,0.26,,FAU,
197,FE53,10.0,0.5,2.5,173,Ludox-AS40,22.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,100,aggregates,1.4,850.0,108.0,0.31,,FAU,
198,FE54,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,85,aggregates,,,,,,GIS+LTA,
199,FE55,10.0,0.5,2.5,173,TEOS,5.0,Yes,Al(OH)3,Yes,No,0.25,5.0,48.0,100,aggregates,,,,,,SOD,
